++ Type 
Main Story

++ Date 
2/7/2014

DamianStark:  ##800000| 	Finally. Thanks, Fred. Yer link worked. ## 
YaraST:  ##666666| 	Hello! ## 
Kai_Tukov:  ##110481| 	Baaaaaaaaaaacon ## 
Kai_Tukov:  ##110481| 	Had to use the weird link? ## 
DamianStark:  ##800000| 	Yep. The other one seems to time out. ## 
DamianStark:  ##800000| 	Hello, C! ## 
DamianStark:  ##800000| 	Bacon, eggs and French toast. ## 
Kai_Tukov:  ##110481| 	Mmmm, breakfast. ## 
Kai_Tukov:  ##110481| 	How are things? ## 
DamianStark:  ##800000| 	Work has me fighting with the urge to quit. It is becoming strong. ## 
Kai_Tukov:  ##110481| 	Hmm, that doesn't sound good. What's happening that's got you wanting to bounce? ## 
Guylian:  ##208020| 	Everybody is here! *pounce* ## 
YaraST:  ##666666| 	Allo, allo! ## 
DamianStark:  ##800000| 	Whee! ## 
Kai_Tukov:  ##110481| 	Okay, so.... ## 
YaraST:  ##666666| 	So... Stuff! Yes. Stuff. There's stuff to do! ## 
Guylian:  ##208020| 	Yay! ## 
YaraST:  ##666666| 	~reviews log~ Okay. We last left our heroes at the theatre, where Vincent, who may be seeming more and more like a mirage as time goes on, has most rudely buggered off somewhere. ## 
Kai_Tukov:  ##110481| 	~reviews~ Okay, Trying to get on page. ## 
DamianStark:  ##800000| 	((Sorry to F, who asked me a question I missed.)) ## 
Kai_Tukov:  ##110481| 	It's all good, kinda brain smooshed. ## 
DamianStark:  ##800000| 	Damian looks off into the distance, as though searching for the dancer's getaway vehicle, his eyes narrowed. ## 
YaraST:  ##666666| 	So, question is, I suppose, what they choose to do next. I believe it would be most suitable to simply take the action back up where we stopped. Kai's out in the parking lot, having just seen the taxi leave, and Damian and Guylian are backstage (though with quick and easy access outside). ## 
Guylian:  ##208020| 	(Hmm, I think D just grabbed G's hand dragging her along to the exit?) ## 
DamianStark:  ##800000| 	It would serve them right if we bailed right here. The whole thing is a hose-job anyway. No pre-show meeting. No logistics. I am fuckin' sick of dealing with people with no sense of professionalism. ## 
Guylian:  ##208020| 	(Wheee ...Tornado warning! ) ## 
DamianStark:  ##800000| 	((Woo hoo!)) ## 
DamianStark:  ##800000| 	((Outside, of course. I had thought we'd managed to get outside before we bugged out last time.)) ## 
YaraST:  ##666666| 	((Calling the whole thing off is certainly an option! ~grin~ So, all are outside.... Ready.... )) ## 
YaraST:  ##666666| 	((Set... ~no tornado, no tornado...~)) ## 
YaraST:  ##666666| 	((Mwahah, let's go.)) IC! ## 
Guylian:  ##208020| 	(That's some messed up weather down here ...) ## 
